netCodes	staCodes	stlas	stlos	startDate	endDate	numDays	gapDays	netFlag	staFlag
XB	PM30	31.8634	-4.2718	28-Oct-2009 00:00:00	10-Jun-2012 23:59:59	953	4	2	2
XB	PM33	31.4318	-4.2427	28-Oct-2009 00:00:00	11-Jun-2012 23:59:59	951	7	2	2
XB	PM12	34.8505	-4.6084	30-Mar-2010 00:00:00	05-Nov-2012 23:59:59	942	10	2	2
XB	PM14	34.5522	-5.1267	31-Mar-2010 00:00:00	04-Nov-2012 23:59:59	942	8	2	2
XB	PM15	34.4694	-4.6997	30-Mar-2010 00:00:00	05-Nov-2012 23:59:59	942	10	2	2
XB	PM01	35.7016	-5.6543	26-Mar-2010 00:00:00	29-Oct-2012 23:59:59	941	8	2	2
XB	PM13	34.6723	-4.9354	30-Mar-2010 00:00:00	05-Nov-2012 23:59:59	941	11	2	2
XB	PM03	35.5104	-5.7713	27-Mar-2010 00:00:00	28-Oct-2012 23:59:59	938	9	2	2
XB	PM06	35.3086	-5.639	27-Mar-2010 00:00:00	28-Oct-2012 23:59:59	930	17	2	2
XB	PM19	34.1427	-5.1308	06-Apr-2010 00:00:00	04-Nov-2012 23:59:59	916	28	2	2
XB	PM31A	32.7186	-4.739	11-Oct-2010 00:00:00	25-May-2013 23:59:59	903	55	2	2
XB	PM08	35.1448	-4.7082	04-Nov-2009 00:00:00	03-May-2012 23:59:59	896	16	2	2
XB	PM02	35.6101	-5.3471	19-Jun-2010 00:00:00	28-Oct-2012 23:59:59	854	9	2	2
XB	PM10	34.7379	-5.1368	05-Apr-2010 00:00:00	31-Oct-2012 23:59:59	852	89	2	2
XB	PM17	34.3914	-5.2954	05-Apr-2010 00:00:00	04-Nov-2012 23:59:59	845	100	2	2
XB	PM16	35.1304	-3.6948	22-Jul-2010 00:00:00	30-Oct-2012 23:59:59	822	10	2	2
XB	PM18	34.15	-4.8195	14-Sep-2010 00:00:00	06-Nov-2012 23:59:59	780	5	2	2
XB	PM22B	33.3079	-5.1024	10-Mar-2011 00:00:00	26-May-2013 23:59:59	769	40	2	2
XB	PM37	34.9507	-3.1506	21-Oct-2010 00:00:00	29-Oct-2012 23:59:59	734	6	2	2
XB	PM39	34.889	-2.6104	22-Oct-2010 00:00:00	29-Oct-2012 23:59:59	730	9	2	2
XB	PM36	34.8894	-3.7359	20-Oct-2010 00:00:00	29-Oct-2012 23:59:59	704	37	2	3
